2024-02-27 18:30:42,282 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:30:43,290 | DEBUG | 截图用时：16.199734449386597
2024-02-27 18:30:43,291 | DEBUG | 第 18 次截图。
2024-02-27 18:30:43,292 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:30:44,305 | DEBUG | 截图用时：17.21128273010254
2024-02-27 18:30:44,306 | DEBUG | 第 19 次截图。
2024-02-27 18:30:44,308 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:30:45,321 | DEBUG | 截图用时：18.226027488708496
2024-02-27 18:30:45,322 | DEBUG | 第 20 次截图。
2024-02-27 18:30:45,323 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:30:46,334 | DEBUG | 截图用时：19.24210262298584
2024-02-27 18:30:46,335 | DEBUG | 第 21 次截图。
2024-02-27 18:30:46,336 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:30:47,351 | DEBUG | 截图用时：20.254727363586426
2024-02-27 18:30:47,351 | DEBUG | 第 22 次截图。
2024-02-27 18:30:47,352 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:30:48,360 | DEBUG | 截图用时：21.270612239837646
2024-02-27 18:30:48,362 | DEBUG | 第 23 次截图。
2024-02-27 18:30:48,365 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:30:49,370 | DEBUG | 截图用时：22.283381938934326
2024-02-27 18:30:49,372 | DEBUG | 第 24 次截图。
2024-02-27 18:30:49,373 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:31:44,069 | DEBUG | 第 1 次截图。
2024-02-27 18:31:44,072 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:31:45,078 | DEBUG | 截图成功！用时：0.003004789352416992
2024-02-27 18:31:45,079 | DEBUG | 第 2 次截图。
2024-02-27 18:31:45,080 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:31:46,081 | DEBUG | 截图成功！用时：0.0010008811950683594
2024-02-27 18:31:46,082 | DEBUG | 第 3 次截图。
2024-02-27 18:31:46,084 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:31:47,094 | DEBUG | 截图成功！用时：0.002000093460083008
2024-02-27 18:31:47,095 | DEBUG | 第 4 次截图。
2024-02-27 18:31:47,097 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:31:48,109 | DEBUG | 截图成功！用时：0.002003908157348633
2024-02-27 18:31:48,110 | DEBUG | 第 5 次截图。
2024-02-27 18:31:48,111 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:31:49,123 | DEBUG | 截图成功！用时：0.001995563507080078
2024-02-27 18:31:49,125 | DEBUG | 第 6 次截图。
2024-02-27 18:31:49,126 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:31:50,129 | DEBUG | 截图成功！用时：0.0009851455688476562
2024-02-27 18:33:09,374 | DEBUG | 第 1 次截图。
2024-02-27 18:33:09,377 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:33:10,390 | DEBUG | 截图成功！用时：0.0039958953857421875
2024-02-27 18:33:10,391 | DEBUG | 第 2 次截图。
2024-02-27 18:33:10,392 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:33:11,404 | DEBUG | 截图成功！用时：0.0010001659393310547
2024-02-27 18:33:11,406 | DEBUG | 第 3 次截图。
2024-02-27 18:33:11,407 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:33:12,416 | DEBUG | 截图成功！用时：0.0010061264038085938
2024-02-27 18:33:12,417 | DEBUG | 第 4 次截图。
2024-02-27 18:33:12,418 | ERROR | 截图失败：没有找到游戏窗口。
2024-02-27 18:33:13,425 | DEBUG | 截图成功！用时：0.0009999275207519531
2024-02-27 18:33:13,426 | DEBUG | 第 5 次截图。
